aadA1,tet(X5),sat2,tet(Q),tet(B),aph(6)-Id,aph(3'')-Ib,lsa(E),floR,ant(6)-Ia,erm(F),tet(X2),tet(W),lnu(P),estT,lnu(F),aadA7,lnu(B),dfrA20,lnu(H),sul2,mef(A)
,0.5874799940107146,1.07142614578202e-15,-1.8545432446203162e-17,-3.540293611309276e-16,-0.2927700218845584,-0.292770021884559,-0.7390659560519287,-0.7390659560519311,-0.7390659560519323,-0.7390659560519323,-0.7390659560519325,-0.7390659560519325,-0.7390659560519326,-0.7390659560519327,-0.7390659560519328,-0.7390659560519331,-0.7390659560519356,-0.8360171835451682,-0.8360171835451686,-0.8777074514725107,-0.8779242496606936
aadA7,tet(X5),tet(Q),sat2,tet(B),aph(6)-Id,aph(3'')-Ib,lsa(E),floR,erm(F),lnu(P),tet(X2),ant(6)-Ia,tet(W),estT,lnu(F),lnu(B),dfrA20,lnu(H),mef(A),sul2,aadA1
,0.4475460469252168,-1.402969187143407e-16,-0.024949372952169733,-0.024949372952170805,-0.2163763561274559,-0.21637635612745637,-0.5630252100840292,-0.5630252100840311,-0.5630252100840316,-0.563025210084032,-0.5630252100840321,-0.5630252100840321,-0.5630252100840321,-0.5630252100840323,-0.5630252100840323,-0.5630252100840344,-0.6368832802336577,-0.636883280233658,-0.6688083533756294,-0.6736330697086064,-0.7390659560519331
ant(6)-Ia,tet(X5),tet(Q),sat2,tet(B),aph(6)-Id,aph(3'')-Ib,lsa(E),floR,aadA7,erm(F),lnu(P),estT,tet(X2),lnu(F),tet(W),lnu(B),dfrA20,lnu(H),mef(A),sul2,aadA1
,0.4475460469252174,-6.134882868863344e-17,-0.024949372952169667,-0.024949372952170874,-0.21637635612745598,-0.21637635612745673,-0.5630252100840298,-0.5630252100840318,-0.5630252100840321,-0.5630252100840324,-0.5630252100840326,-0.5630252100840327,-0.5630252100840328,-0.563025210084033,-0.5630252100840331,-0.5630252100840349,-0.6368832802336586,-0.6368832802336588,-0.66880835337563,-0.6736330697086071,-0.7390659560519323
aph(3'')-Ib,tet(X5),tet(Q),tet(B),sat2,sul2,aadA7,ant(6)-Ia,lsa(E),estT,tet(X2),lnu(P),tet(W),lnu(F),erm(F),lnu(B),floR,dfrA20,lnu(H),mef(A),aadA1,aph(6)-Id
,0.40132523830762856,1.4555972084171513e-15,-8.01261217465194e-16,-8.570382058766791e-16,-3.872439084087063e-14,-0.21637635612745637,-0.21637635612745673,-0.21637635612748718,-0.21637635612748873,-0.21637635612748893,-0.21637635612748904,-0.21637635612748912,-0.21637635612748918,-0.21637635612748934,-0.21637635612748957,-0.21637635612748993,-0.24476076912242256,-0.24476076912242264,-0.25702990178618473,-0.292770021884559,-1.0000000000000115
aph(6)-Id,tet(X5),sul2,sat2,tet(B),tet(Q),floR,lsa(E),erm(F),lnu(F),tet(W),lnu(P),tet(X2),estT,lnu(B),aadA7,ant(6)-Ia,dfrA20,lnu(H),mef(A),aadA1,aph(3'')-Ib
,0.4013252383075762,4.250801460918874e-14,1.659411295128391e-15,7.796536005317458e-16,-8.786281477914761e-16,-0.2163763561274223,-0.216376356127423,-0.2163763561274234,-0.216376356127424,-0.216376356127424,-0.21637635612742415,-0.2163763561274242,-0.21637635612742434,-0.21637635612742542,-0.2163763561274559,-0.21637635612745598,-0.24476076912234918,-0.24476076912234926,-0.2570299017861073,-0.2927700218845584,-1.0000000000000115
dfrA20,tet(X5),tet(Q),sat2,tet(B),aph(6)-Id,aph(3'')-Ib,lsa(E),floR,erm(F),tet(W),aadA7,tet(X2),lnu(P),estT,lnu(F),ant(6)-Ia,lnu(B),lnu(H),mef(A),sul2,aadA1
,0.5062554736737224,-3.2288489523082034e-16,-0.028222250444486133,-0.02822225044448775,-0.24476076912234918,-0.24476076912242256,-0.6368832802336546,-0.6368832802336567,-0.6368832802336575,-0.6368832802336577,-0.6368832802336577,-0.6368832802336578,-0.6368832802336578,-0.636883280233658,-0.6368832802336581,-0.6368832802336586,-0.6368832802336606,-0.7204301075268812,-0.7565431357540247,-0.7620007620011419,-0.8360171835451682
erm(F),tet(X5),tet(Q),sat2,tet(B),aph(6)-Id,aph(3'')-Ib,lsa(E),aadA7,floR,ant(6)-Ia,tet(W),tet(X2),lnu(P),estT,lnu(F),lnu(B),dfrA20,lnu(H),mef(A),sul2,aadA1
,0.44754604692521743,-7.619556429449076e-17,-0.024949372952169726,-0.024949372952170885,-0.2163763561274234,-0.21637635612748934,-0.5630252100840297,-0.5630252100840316,-0.5630252100840317,-0.5630252100840324,-0.5630252100840327,-0.5630252100840327,-0.5630252100840327,-0.5630252100840328,-0.5630252100840331,-0.5630252100840352,-0.6368832802336575,-0.6368832802336588,-0.6688083533756302,-0.673633069708607,-0.7390659560519323
estT,tet(X5),tet(Q),sat2,tet(B),aph(6)-Id,aph(3'')-Ib,lsa(E),floR,aadA7,tet(X2),tet(W),ant(6)-Ia,lnu(F),erm(F),lnu(P),lnu(B),dfrA20,lnu(H),mef(A),sul2,aadA1
,0.4475460469252172,4.5850719095640474e-17,-0.02494937295216963,-0.02494937295217095,-0.21637635612742434,-0.21637635612748873,-0.5630252100840297,-0.5630252100840313,-0.5630252100840323,-0.5630252100840326,-0.5630252100840327,-0.5630252100840327,-0.5630252100840327,-0.5630252100840328,-0.5630252100840328,-0.5630252100840349,-0.636883280233658,-0.6368832802336588,-0.66880835337563,-0.673633069708607,-0.7390659560519327
